probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_a31e712b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,1,1,V4,B,1,90.472,OFF,3,其他与课程无关的事情,2,1790001275.1233928,51183,90.641,1790001280.076393,4936,1790001286.1233928,6047,1790001286.154393,53938,1
Block 1_2_a31e712b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,1,1,V4,B,2,143.119,AMBIGUOUS,4,放空/不确定刚才在想什么,4,1790001338.7953928,67102,143.355,1790001345.404393,6597,1790001348.201393,2801,1790001348.2323928,69458,1
Block 1_3_a31e712b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,1,1,V4,B,3,197.771,OFF,3,其他与课程无关的事情,2,1790001402.7643929,83097,197.931,1790001406.029393,3247,1790001407.529393,1499,1790001407.5603929,84292,1
Block 1_4_a31e712b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,1,1,V4,B,4,271.709,ON,1,课程内容,3,1790001481.451393,102771,271.883,1790001483.4983928,2043,1790001484.951393,1451,1790001484.9823928,103642,1
Block 2_1_3918474b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,2,2,V5,A,1,126.004,ON,1,课程内容,3,1790001886.7323928,204089,126.082,1790001890.6233928,3880,1790001893.279393,2657,1790001893.3103929,205729,1
Block 2_2_3918474b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,2,2,V5,A,2,188.395,OFF,3,其他与课程无关的事情,4,1790001955.7483928,221340,188.553,1790001960.2323928,4479,1790001971.1233928,10887,1790001971.154393,225189,1
Block 2_3_3918474b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,2,2,V5,A,3,238.761,ON,1,课程内容,4,1790002022.1393929,237939,238.842,1790002024.092393,1938,1790002025.654393,1569,1790002025.701393,238823,1
Block 2_4_3918474b,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,2,2,V5,A,4,360.792,ON,1,课程内容,3,1790002147.717393,269338,360.892,1790002150.1073928,2364,1790002151.1703928,1071,1790002151.201393,270194,1
Block 3_1_eb2beee8,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,3,3,V6,B,1,81.293,ON,1,课程内容,4,1790002364.2483928,323466,81.504,1790002366.8893929,2624,1790002367.6853929,802,1790002367.7323928,324322,1
Block 3_2_eb2beee8,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,3,3,V6,B,2,156.409,OFF,3,其他与课程无关的事情,3,1790002442.6853929,343072,156.509,1790002445.0453928,2343,1790002446.201393,1165,1790002446.2483928,343952,1
Block 3_3_eb2beee8,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,3,3,V6,B,3,210.71,ON,1,课程内容,3,1790002500.467393,357517,210.779,1790002502.8103929,2317,1790002503.904393,1097,1790002503.9353929,358381,1
Block 3_4_eb2beee8,sub-008,ses-001,4f31ef37-4b28-414b-891c-fd15b33e84f7,G08,3,3,V6,B,4,287.847,ON,1,课程内容,4,1790002581.029393,377665,287.924,1790002583.2483928,2210,1790002584.2483928,1004,1790002584.2953928,378465,1
