subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,condition_type,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,duration_sec,recorder_timestamp,device_sample_number
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,bbbd_subtraction,1,9,4,2,90-100%,90,100,5,704,78.819,1789748226.5163507,149320
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,focused,5,3,3,3,,,,,,29.175,1789748674.8725855,261413
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,bbbd_subtraction,2,7,2,1,90-100%,90,100,4,624,39.234,1789749384.6679745,438863
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,focused,5,1,3,2,,,,,,19.079,1789749871.8632758,560655
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,bbbd_subtraction,3,6,3,2,90-100%,90,100,3,502,42.439,1789750422.3676283,698282
sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,focused,2,2,2,2,,,,,,16.239,1789750892.2482567,815759
