probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_731ad2fa,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,1,90.234,OFF,2,连续减7心算任务,4,1789747887.162875,64492,90.284,1789747892.0032823,4822,1789747896.1371865,4132,1789747896.144724,66722,1
Block 1_2_731ad2fa,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,2,182.449,OFF,2,连续减7心算任务,4,1789747988.3621404,89786,182.537,1789747993.4833288,5113,1789747995.3192751,1824,1789747995.3264499,91512,1
Block 1_3_731ad2fa,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,3,240.944,OFF,2,连续减7心算任务,4,1789748053.7937243,106146,241.026,1789748057.0712976,3258,1789748058.2037358,1132,1789748058.208605,107242,1
Block 1_4_731ad2fa,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,1,1,V3,B,4,295.434,OFF,2,连续减7心算任务,4,1789748112.8157244,120896,295.651,1789748115.9034283,3070,1789748117.127927,1222,1789748117.1330237,121971,1
Block 2_1_d5953acb,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,1,100.535,ON,1,课程内容,4,1789748403.1898856,193490,100.774,1789748407.6669102,4460,1789748408.794627,1122,1789748408.7998004,194889,1
Block 2_2_d5953acb,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,2,167.429,ON,1,课程内容,4,1789748475.4990327,211573,167.498,1789748479.416064,3897,1789748481.249057,1834,1789748481.2544265,213003,1
Block 2_3_d5953acb,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,3,214.913,ON,1,课程内容,3,1789748528.8433633,224908,215.124,1789748532.9573076,4093,1789748538.7559774,5810,1789748538.7615058,227384,1
Block 2_4_d5953acb,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,2,2,V4,A,4,270.649,ON,1,课程内容,3,1789748594.2880528,241268,270.683,1789748600.3781843,6071,1789748602.562263,2184,1789748602.5679736,243334,1
Block 3_1_16223a06,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,1,50.074,OFF,2,连续减7心算任务,4,1789748985.5100582,339075,50.226,1789748989.622938,4094,1789748990.8138716,1192,1789748990.8235495,340395,1
Block 3_2_16223a06,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,2,221.245,OFF,2,连续减7心算任务,4,1789749162.0096962,383199,221.435,1789749165.4700272,3442,1789749166.6771266,1206,1789749166.6824014,384359,1
Block 3_3_16223a06,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,3,277.193,OFF,2,连续减7心算任务,3,1789749222.459249,398304,277.252,1789749226.0888507,3612,1789749227.0003917,911,1789749227.0093884,399444,1
Block 3_4_16223a06,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,3,3,V5,B,4,341.771,OFF,2,连续减7心算任务,4,1789749291.5559926,415584,341.834,1789749294.1029322,2525,1789749296.2390647,2140,1789749296.2464538,416744,1
Block 4_1_2b100dbf,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,1,48.585,ON,1,课程内容,4,1789749558.2228506,482252,48.622,1789749561.2607188,3019,1789749562.0843081,823,1789749562.0895991,483212,1
Block 4_2_2b100dbf,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,2,135.863,ON,1,课程内容,4,1789749649.524942,505068,136.092,1789749652.1426036,2585,1789749652.8910086,762,1789749652.8963287,505912,1
Block 4_3_2b100dbf,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,3,189.746,ON,1,课程内容,3,1789749706.5438576,519331,189.776,1789749709.579181,3015,1789749711.0111327,1440,1789749711.0171907,520451,1
Block 4_4_2b100dbf,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,4,4,V6,A,4,254.145,ON,1,课程内容,3,1789749775.3504505,536536,254.147,1789749779.7715113,4402,1789749781.1845303,1414,1789749781.1939385,537987,1
Block 5_1_8b5b229a,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,1,49.332,OFF,2,连续减7心算任务,4,1789750068.7733414,609889,49.379,1789750071.1900787,2397,1789750072.0483968,859,1789750072.0572095,610704,1
Block 5_2_8b5b229a,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,2,131.236,OFF,2,连续减7心算任务,4,1789750154.1342568,631234,131.481,1789750157.4270866,3270,1789750158.1420903,728,1789750158.1480095,632229,1
Block 5_3_8b5b229a,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,3,197.804,OFF,2,连续减7心算任务,4,1789750224.574511,648843,197.92,1789750226.9910645,2392,1789750227.7076895,730,1789750227.714102,649623,1
Block 5_4_8b5b229a,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,5,5,V1,B,4,270.722,OFF,2,连续减7心算任务,4,1789750300.551303,667833,270.775,1789750302.9303718,2354,1789750303.9146132,987,1789750303.9203563,668668,1
Block 6_1_b0e05005,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,1,46.541,ON,1,课程内容,2,1789750571.6056902,735596,46.736,1789750576.611076,4996,1789750578.3652725,1751,1789750578.3744822,737251,1
Block 6_2_b0e05005,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,2,119.182,ON,1,课程内容,4,1789750650.9417443,755426,119.336,1789750654.362439,3411,1789750656.041405,1668,1789750656.0475059,756701,1
Block 6_3_b0e05005,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,3,190.388,OFF,3,其他与课程无关的事情,2,1789750727.2689233,774505,190.597,1789750745.0219421,17731,1789750747.43623,2416,1789750747.4422793,779516,1
Block 6_4_b0e05005,sub-006,ses-001,758a2c1f-96c3-48f5-ab07-8c75254f9b51,G06,6,6,V2,A,4,280.433,ON,1,课程内容,3,1789750837.7530272,802130,280.623,1789750842.3574612,4585,1789750843.8562648,1510,1789750843.8625214,803660,1
