probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_ad4fbf6a,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,1,1,V2,B,1,114.593,OFF,2,连续减7心算任务,4,1789616486.8076313,43107,114.607,1789616489.461947,2637,1789616490.2337964,780,1789616490.2558486,43963,1
Block 1_2_ad4fbf6a,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,1,1,V2,B,2,171.699,OFF,2,连续减7心算任务,4,1789616547.4091647,58247,171.797,1789616549.8593552,2436,1789616551.4023511,1550,1789616551.4275117,59248,1
Block 1_3_ad4fbf6a,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,1,1,V2,B,3,217.395,OFF,2,连续减7心算任务,4,1789616597.1076021,70677,217.504,1789616600.4072409,3289,1789616601.4714723,1064,1789616601.4947453,71771,1
Block 1_4_ad4fbf6a,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,1,1,V2,B,4,272.612,OFF,2,连续减7心算任务,4,1789616656.765876,85581,272.81,1789616659.3937476,2606,1789616661.0470462,1667,1789616661.0672853,86662,1
Block 2_1_5ff5de96,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,2,2,V3,A,1,51.248,ON,1,课程内容,3,1789616838.1573277,130940,51.272,1789616841.111148,2936,1789616842.4898436,1386,1789616842.510899,132021,1
Block 2_2_5ff5de96,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,2,2,V3,A,2,110.334,ON,1,课程内容,3,1789616901.8172095,146855,110.597,1789616904.75531,2882,1789616906.0346103,1326,1789616906.061296,147906,1
Block 2_3_5ff5de96,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,2,2,V3,A,3,218.425,ON,1,课程内容,3,1789617013.9370296,174884,218.508,1789617016.50835,2526,1789617017.514578,1042,1789617017.535782,175775,1
Block 2_4_5ff5de96,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,2,2,V3,A,4,294.511,ON,1,课程内容,3,1789617093.5411835,194779,294.531,1789617097.8708367,4321,1789617101.4464114,3576,1789617101.4708736,196758,1
Block 3_1_9b3ed2b7,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,3,3,V4,B,1,53.591,ON,1,课程内容,3,1789617266.1087856,237922,53.652,1789617269.5007823,3381,1789617270.7591271,1260,1789617270.7849174,239078,1
Block 3_2_9b3ed2b7,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,3,3,V4,B,2,166.887,ON,1,课程内容,2,1789617384.233059,267452,167.117,1789617387.7559435,3514,1789617389.7128403,1957,1789617389.7375975,268823,1
Block 3_3_9b3ed2b7,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,3,3,V4,B,3,225.89,ON,1,课程内容,2,1789617448.4757063,283511,225.911,1789617451.4099348,2915,1789617452.173571,773,1789617452.199929,284437,1
Block 3_4_9b3ed2b7,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,3,3,V4,B,4,277.472,ON,1,课程内容,2,1789617503.9819958,297391,277.723,1789617506.5403166,2544,1789617509.1393518,2601,1789617509.1714213,298657,1
Block 4_1_f16399e9,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,4,4,V5,A,1,134.332,ON,1,课程内容,3,1789617763.064871,362160,134.447,1789617766.5827978,3507,1789617767.6532543,1071,1789617767.6838887,363301,1
Block 4_2_f16399e9,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,4,4,V5,A,2,208.189,ON,1,课程内容,3,1789617841.5621474,381784,208.362,1789617844.301441,2727,1789617845.6551251,1356,1789617845.6816618,382800,1
Block 4_3_f16399e9,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,4,4,V5,A,3,301.756,ON,1,课程内容,4,1789617939.2367632,406199,301.951,1789617942.4911773,3244,1789617944.9523194,2459,1789617944.9779027,407619,1
Block 4_4_f16399e9,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,4,4,V5,A,4,357.656,ON,1,课程内容,3,1789618000.8237898,421589,357.821,1789618002.7333035,1902,1789618004.0773225,1343,1789618004.1165211,422408,1
Block 5_1_925cef26,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,5,5,V6,B,1,63.566,OFF,2,连续减7心算任务,4,1789618180.8458216,466597,63.765,1789618183.639187,2774,1789618184.6616151,1032,1789618184.6941087,467552,1
Block 5_2_925cef26,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,5,5,V6,B,2,123.891,OFF,2,连续减7心算任务,3,1789618245.0188665,482642,124.129,1789618247.807467,2777,1789618249.2765148,1469,1789618249.3068895,483698,1
Block 5_3_925cef26,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,5,5,V6,B,3,241.499,ON,1,课程内容,2,1789618366.7982924,513086,241.666,1789618369.2278001,2422,1789618370.349655,1124,1789618370.3808017,513971,1
Block 5_4_925cef26,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,5,5,V6,B,4,294.5,OFF,2,连续减7心算任务,4,1789618423.228625,527191,294.557,1789618425.3213046,2081,1789618426.3664203,1041,1789618426.4048502,527972,1
Block 6_1_3d20755f,sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,6,6,V1,A,1,101.107,ON,1,课程内容,3,1789618639.3897157,581229,101.205,1789618643.00766,3605,1789618644.6609893,1658,1789618644.691103,582540,1
