subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,condition_type,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,duration_sec,recorder_timestamp,device_sample_number
sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,1,1,V2,B,bbbd_subtraction,1,8,4,1,80-90%,80,90,3,686,30.429,1789616731.4432425,104261
sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,2,2,V3,A,focused,4,5,3,2,,,,,,16.367,1789617149.5546055,208784
sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,3,3,V4,B,bbbd_subtraction,2,6,2,3,40-50%,40,50,4,686,26.543,1789617571.7840548,314341
sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,4,4,V5,A,focused,4,7,5,2,,,,,,12.859,1789618050.1956997,433918
sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,5,5,V6,B,bbbd_subtraction,2,6,3,3,70-80%,70,80,3,700,24.691,1789618482.2818842,541950
sub-004,ses-001,2e32687e-f8cf-4a91-8fec-dfa79fb2e0c2,G04,6,6,V1,A,focused,4,7,3,2,,,,,,13.687,1789618915.9404612,650363
