probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_2adeeae6,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,1,46.177,OFF,2,连续减7心算任务,4,1789472474.6150472,50289,46.225,1789472479.2920587,4675,1789472487.258891,7960,1789472487.271372,53449,1
Block 1_2_2adeeae6,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,2,99.625,ON,1,课程内容,4,1789472540.710851,66809,99.705,1789472543.3412347,2627,1789472553.8316894,10488,1789472553.8442495,70094,1
Block 1_3_2adeeae6,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,3,185.225,ON,1,课程内容,4,1789472639.450354,91498,185.345,1789472643.701008,4244,1789472646.1720757,2472,1789472646.1838098,93178,1
Block 1_4_2adeeae6,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,1,1,V1,B,4,269.602,OFF,3,其他与课程无关的事情,3,1789472730.463656,114253,269.646,1789472741.0602896,10583,1789472742.8548584,1796,1789472742.8692775,117348,1
Block 2_1_d360fd2c,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,1,85.308,ON,1,课程内容,3,1789473005.40743,182941,85.332,1789473009.0931642,3679,1789473010.2499573,1157,1789473010.2644439,184196,1
Block 2_2_d360fd2c,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,2,154.05,ON,1,课程内容,4,1789473079.128121,201416,154.226,1789473081.5620825,2427,1789473082.6401474,1075,1789473082.6508949,202296,1
Block 2_3_d360fd2c,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,3,201.104,ON,1,课程内容,3,1789473129.7201846,214067,201.293,1789473132.2161927,2495,1789473133.099067,857,1789473133.1133435,214907,1
Block 2_4_d360fd2c,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,2,2,V2,A,4,259.221,ON,1,课程内容,3,1789473191.0513868,229395,259.298,1789473193.7148182,2659,1789473194.5941532,880,1789473194.6186635,230281,1
Block 3_1_b5967949,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,3,3,V3,B,1,86.73,OFF,2,连续减7心算任务,4,1789473404.8151898,282840,86.908,1789473407.2521641,2431,1789473408.3245432,1072,1789473408.3392167,283720,1
Block 3_2_b5967949,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,3,3,V3,B,2,165.317,ON,1,课程内容,4,1789473486.740244,303314,165.34,1789473490.534852,3789,1789473491.7039576,1167,1789473491.7203424,304568,1
Block 3_3_b5967949,sub-002,ses-001,a4fe51e0-c707-4a4a-9599-f6e1c08a6329,G02,3,3,V3,B,3,213.536,ON,1,课程内容,4,1789473540.1021757,316663,213.753,1789473542.4928403,2354,1789473543.5876913,1118,1789473543.6008978,317529,1
