probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_05e8576f,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,1,1,V3,A,1,61.442,ON,1,课程内容,4,1789637574.7596922,46577,61.64,1789637586.4444637,11665,1789637592.1369548,5687,1789637592.1573768,50913,1
Block 1_2_05e8576f,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,1,1,V3,A,2,123.611,ON,1,课程内容,4,1789637654.3480787,66477,123.631,1789637658.0817523,3708,1789637660.6785192,2617,1789637660.7013423,68057,1
Block 1_3_05e8576f,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,1,1,V3,A,3,212.293,ON,1,课程内容,4,1789637749.5220883,90266,212.463,1789637753.294661,3772,1789637754.822865,1505,1789637754.844585,91587,1
Block 1_4_05e8576f,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,1,1,V3,A,4,273.647,ON,1,课程内容,4,1789637816.0095494,106886,273.693,1789637819.4113047,3366,1789637820.56671,1149,1789637820.5900626,108026,1
Block 2_1_7a7e9abe,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,2,2,V4,B,1,45.466,OFF,2,连续减7心算任务,4,1789638018.8634815,157605,45.63,1789638022.8385975,3955,1789638024.4929814,1578,1789638024.5299041,158985,1
Block 2_2_7a7e9abe,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,2,2,V4,B,2,95.408,OFF,2,连续减7心算任务,3,1789638074.381073,171484,95.645,1789638077.6523778,3251,1789638079.142444,1506,1789638079.2558188,172679,1
Block 2_3_7a7e9abe,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,2,2,V4,B,3,174.134,OFF,2,连续减7心算任务,4,1789638157.8675213,192349,174.361,1789638160.9116895,3051,1789638162.0954049,1176,1789638162.1469028,193414,1
Block 2_4_7a7e9abe,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,2,2,V4,B,4,281.946,OFF,2,连续减7心算任务,4,1789638269.7423673,220323,282.023,1789638272.264682,2512,1789638273.10643,816,1789638273.1952045,221163,1
Block 3_1_45e10d7a,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,3,3,V5,A,1,107.445,ON,1,课程内容,4,1789638546.8501763,289601,107.632,1789638549.974,3105,1789638553.191598,3217,1789638553.2196167,291186,1
Block 3_2_45e10d7a,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,3,3,V5,A,2,159.575,ON,1,课程内容,4,1789638605.269242,304216,159.746,1789638608.804842,3500,1789638610.1494546,1340,1789638610.1703212,305422,1
Block 3_3_45e10d7a,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,3,3,V5,A,3,260.013,ON,1,课程内容,4,1789638710.450073,330502,260.088,1789638712.6523466,2171,1789638714.3115172,1664,1789638714.3387644,331467,1
Block 3_4_45e10d7a,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,3,3,V5,A,4,353.465,ON,1,课程内容,4,1789638807.8434677,354855,353.634,1789638810.2666023,2394,1789638812.6950135,2448,1789638812.7123315,356070,1
Block 4_1_c363c312,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,4,4,V6,B,1,64.828,OFF,2,连续减7心算任务,4,1789638999.8770285,402864,65.05,1789639003.2338288,3330,1789639005.1254056,1826,1789639005.1799672,404154,1
Block 4_2_c363c312,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,4,4,V6,B,2,170.331,OFF,2,连续减7心算任务,4,1789639110.3471484,430478,170.371,1789639114.021591,3649,1789639116.1228986,2104,1789639116.152363,431919,1
Block 4_3_c363c312,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,4,4,V6,B,3,241.876,OFF,2,连续减7心算任务,4,1789639187.6579802,449808,241.94,1789639191.7551138,4072,1789639193.2639515,1528,1789639193.2864294,451204,1
Block 4_4_c363c312,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,4,4,V6,B,4,295.044,OFF,2,连续减7心算任务,4,1789639246.4745347,464508,295.142,1789639249.296536,2809,1789639250.5219502,1224,1789639250.546885,465517,1
Block 5_1_ae118653,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,5,5,V1,A,1,82.486,ON,1,课程内容,4,1789639467.5754538,519786,82.605,1789639470.2844412,2702,1789639472.6183634,2344,1789639472.6613407,521046,1
Block 5_2_ae118653,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,5,5,V1,A,2,166.932,ON,1,课程内容,4,1789639557.1527855,542187,167.141,1789639559.5588307,2379,1789639560.5364373,975,1789639560.5634885,543026,1
Block 5_3_ae118653,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,5,5,V1,A,3,261.134,ON,1,课程内容,4,1789639654.679237,566565,261.306,1789639658.2386303,3533,1789639659.4607484,1224,1789639659.4835482,567760,1
Block 5_4_ae118653,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,5,5,V1,A,4,309.833,ON,1,课程内容,4,1789639708.0984187,579900,309.961,1789639710.847627,2718,1789639712.43832,1600,1789639712.540615,581005,1
Block 6_1_1c4d03d0,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,6,6,V2,B,1,66.813,OFF,2,连续减7心算任务,4,1789639908.1789603,629934,66.962,1789639910.9402227,2740,1789639912.1254365,1183,1789639912.1474328,630924,1
Block 6_2_1c4d03d0,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,6,6,V2,B,2,142.064,OFF,2,连续减7心算任务,4,1789639987.3243148,649733,142.199,1789639990.0902214,2726,1789639991.4812157,1393,1789639991.5057628,650763,1
Block 6_3_1c4d03d0,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,6,6,V2,B,3,232.389,OFF,2,连续减7心算任务,4,1789640081.8413522,673363,232.573,1789640084.4506285,2601,1789640086.0669436,1591,1789640086.1475222,674413,1
Block 6_4_1c4d03d0,sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,6,6,V2,B,4,282.099,OFF,2,连续减7心算任务,4,1789640135.733253,686833,282.261,1789640138.3604012,2609,1789640139.4581358,1086,1789640139.4831216,687762,1
