subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,condition_type,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,duration_sec,recorder_timestamp,device_sample_number
sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,1,1,V3,A,focused,5,6,1,1,,,,,,30.027,1789637903.1195467,128675
sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,2,2,V4,B,bbbd_subtraction,2,3,1,1,80-90%,80,90,2,457,60.935,1789638365.8142395,244348
sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,3,3,V5,A,focused,5,6,1,1,,,,,,14.293,1789638864.3902936,368990
sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,4,4,V6,B,bbbd_subtraction,1,1,1,1,90-100%,90,100,3,366,31.024,1789639312.1339517,480932
sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,5,5,V1,A,focused,5,5,1,1,,,,,,14.998,1789639764.2694123,593965
sub-005,ses-001,2c45acad-6db6-41d5-89db-d3b3e344aa65,G05,6,6,V2,B,bbbd_subtraction,1,4,1,1,90-100%,90,100,3,353,24.105,1789640194.0461054,701413
