probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_ac5cd6b6,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,1,52.498,ON,1,课程内容,3,1789378234.9966755,28504,52.53,1789378237.1366756,2139,1789378238.0896757,958,1789378238.1056757,29288,1
Block 1_2_ac5cd6b6,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,2,106.906,ON,1,课程内容,3,1789378292.6686757,42928,107.108,1789378295.0436757,2366,1789378295.9186757,874,1789378295.9186757,43739,1
Block 1_3_ac5cd6b6,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,3,192.224,ON,1,课程内容,3,1789378381.0276756,65017,192.232,1789378382.9026756,1859,1789378383.4646757,563,1789378383.4646757,65557,1
Block 1_4_ac5cd6b6,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,4,280.259,ON,1,课程内容,3,1789378471.4966755,87632,280.268,1789378473.6216755,2128,1789378474.2776756,661,1789378474.2776756,88317,1
Block 2_1_5b0c02fb,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,1,51.805,OFF,2,连续减7心算任务,3,1789378660.2306757,134811,51.952,1789378666.7466755,6508,1789378668.0276756,1275,1789378668.0276756,136766,1
Block 2_2_5b0c02fb,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,2,110.719,ON,1,课程内容,3,1789378726.8246756,151200,110.752,1789378729.1996756,2373,1789378730.1366756,944,1789378730.1526756,152034,1
Block 2_3_5b0c02fb,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,3,185.728,OFF,2,连续减7心算任务,3,1789378805.1056757,170523,185.732,1789378807.0896757,1972,1789378807.6366756,554,1789378807.6526756,171139,1
Block 2_4_5b0c02fb,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,4,282.515,OFF,2,连续减7心算任务,4,1789378904.4646757,194599,282.585,1789378906.5276756,2051,1789378907.1996756,665,1789378907.1996756,195279,1
Block 3_1_0b8a08f3,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,3,3,V3,A,1,79.355,ON,1,课程内容,3,1789379103.4646757,244348,79.529,1789379105.5116756,2044,1789379106.2306757,719,1789379106.2466755,245043,1
Block 3_2_0b8a08f3,sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,3,3,V3,A,2,141.655,ON,1,课程内容,3,1789379168.5586755,260623,141.851,1789379170.5586755,1989,1789379171.1216755,570,1789379171.1216755,261264,1
