subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,condition_type,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,duration_sec,recorder_timestamp,device_sample_number
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,1,1,V1,A,focused,4,4,3,1,,,,,,10.438,1789378551.2776756,107571
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,2,2,V2,B,bbbd_subtraction,4,5,3,1,50-60%,50,60,3,440,22.59,1789378959.9806757,208479
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,3,3,V3,A,focused,3,3,2,1,,,,,,8.342,1789379370.0746756,310992
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,4,4,V4,B,bbbd_subtraction,4,6,3,1,50-60%,50,60,4,647,16.14,1789379764.8866756,406505
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,5,5,V5,A,focused,4,2,4,1,,,,,,6.211,1789380276.2776756,529330
sub-001,ses-001,324f7c1e-da89-4a22-ba3a-14cd4903bda9,G01,6,6,V6,B,bbbd_subtraction,4,3,3,1,50-60%,50,60,4,345,18.281,1789380694.4186757,633877
