event_name,event_timestamp,sample_time_sec,received_order,block_id,block_order,group_id,session_half,counterbalance_group,condition,condition_type,event_type,event_value,duration_sec,exclude_before_sec,exclude_after_sec,trial_id,question_id,correct_answer,participant_answer,is_correct,reaction_time_ms,notes,run_id,subject_id,session_id,client_event_id,client_id,received_timestamp,client_timestamp,client_monotonic_ms,timestamp_source,clock_offset_sec,clock_round_trip_ms,eeg_received_order,eeg_sample_number,eeg_stream_segment,alignment_error_ms,alignment_status,identity_status,context_matches_current,state_applied,start_number,generated_timestamp,displayed_timestamp,hidden_timestamp,after_block_id,affected_block_id,planned_duration,actual_duration,is_formal_experiment,operator_id,override_reason,sensitivity_exclude_before_sec,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,rating_item,rating_value,quiz_score,quiz_total,question_text,response_index,response_text,video_id,condition_label,video_time_sec,browser_timestamp,recorder_timestamp,device_sample_number,probe_id,probe_index,probe_schedule_id,probe_planned_time_sec,response,response_label,response_time_ms,confidence,probe_attention,pause_reason
device_disconnected,1789890563.7543375,,3857,,,,,G07,,,device_disconnected,,,0,0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890563.7543375,,,server,,,,,,-4140.000104904175,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890563.7543375,,,,,,,,,,,
device_connected,1789890573.3173375,,3857,,,,,G07,,,device_connected,74:4D:BD:62:FD:8D,,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890573.3173375,,,server,,,,,,-13703.00006866455,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890573.3173375,,,,,,,,,,,
qc_status_change,1789890574.3793375,16.412,4104,,,,,G07,,,qc_status_change,good,,0.0,0.0,,,,,,,当前QC指标正常。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890574.3793375,,,server,,,4103,4103,1,0.0,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890574.3793375,4103,,,,,,,,,,
qc_baseline_start,1789890577.1613376,,4174,,,,,G07,,,qc_baseline_start,,30.0,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890577.1613376,,,server,,,,,,-2500.0,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890577.1613376,,,,,,,,,,,
qc_status_change,1789890578.3953376,,4174,,,,,G07,,,qc_status_change,bad,,0.0,0.0,,,,,,,已连续 3.7 秒没有EEG，请立即重新连接耳机。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890578.3953376,,,server,,,,,,-3733.9999675750732,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890578.3953376,,,,,,,,,,,
device_disconnected,1789890579.0513375,,4174,,,,,G07,,,device_disconnected,,,0,0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890579.0513375,,,server,,,,,,-4389.999866485596,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890579.0513375,,,,,,,,,,,
device_error,1789890584.9893374,,4174,,,,,G07,,,device_error,[WinError -2147023673] 操作已被用户取消。,,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890584.9893374,,,server,,,,,,-10327.999830245972,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890584.9893374,,,,,,,,,,,
device_disconnected,1789890584.9893374,,4174,,,,,G07,,,device_disconnected,,,0,0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890584.9893374,,,server,,,,,,-10327.999830245972,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890584.9893374,,,,,,,,,,,
device_connected,1789890591.5043375,,4174,,,,,G07,,,device_connected,74:4D:BD:62:FD:8D,,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890591.5043375,,,server,,,,,,-16842.999935150146,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890591.5043375,,,,,,,,,,,
qc_status_change,1789890592.4893374,17.672,4419,,,,,G07,,,qc_status_change,waiting,,0.0,0.0,,,,,,,等待至少2秒EEG数据。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890592.4893374,,,server,,,4418,4418,2,-16.000032424926758,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890592.4893374,4418,,,,,,,,,,
