probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,1,1,V4,A,1,46.165,ON,1,课程内容,3,1789890781.1143374,51065,46.22,1789890789.7233374,8592,1789890792.7863376,3070,1789890792.8013375,53976,1
Block 1_2_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,1,1,V4,A,2,100.883,ON,1,课程内容,3,1789890883.1293375,67195,101.1,1789890887.0983374,3972,1789890889.2233374,2119,1789890889.2393374,68770,1
Block 1_3_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,1,1,V4,A,3,213.918,ON,1,课程内容,3,1789891050.5673375,98960,213.981,1789891054.0983374,3529,1789891055.0043375,896,1789891055.0043375,100070,1
Block 1_4_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,1,1,V4,A,4,283.647,ON,1,课程内容,3,1789891124.9113376,117523,283.896,1789891128.2073376,3288,1789891129.0823376,878,1789891129.0983374,118593,1
Block 2_1_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,2,2,V5,B,1,74.132,OFF,2,连续减7心算任务,3,1789891345.8643374,167948,74.289,1789891348.9893374,3072,1789891349.9423375,1005,1789891349.9573376,168972,1
Block 2_2_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,2,2,V5,B,2,137.204,OFF,2,连续减7心算任务,3,1789891412.9733374,184662,137.313,1789891416.3793375,3147,1789891417.0673375,838,1789891417.0673375,185732,1
Block 2_3_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,2,2,V5,B,3,185.902,OFF,2,连续减7心算任务,3,1789891465.6453376,197896,185.981,1789891468.6763375,3025,1789891469.4573376,789,1789891469.4733374,198847,1
Block 2_4_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,2,2,V5,B,4,294.929,OFF,2,连续减7心算任务,3,1789891578.5823376,226131,295.118,1789891582.3483374,3765,1789891583.7073376,1358,1789891583.7233374,227421,1
Block 3_1_653adb72,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,3,3,V6,A,1,66.027,ON,1,课程内容,3,1789891899.8013375,295374,66.167,1789891903.4423375,3508,1789891904.7233374,1398,1789891904.7233374,296494,1
Block 3_2_653adb72,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,3,3,V6,A,2,132.567,ON,1,课程内容,3,1789891979.7863376,313273,132.804,1789891983.2073376,3332,1789891984.9573376,1802,1789891984.9733374,314553,1
Block 3_3_653adb72,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,3,3,V6,A,3,195.991,ON,1,课程内容,4,1789892079.0043375,330257,196.049,1789892081.5513375,2525,1789892082.4733374,925,1789892082.4893374,331117,1
Block 3_4_653adb72,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,3,3,V6,A,4,247.543,ON,1,课程内容,3,1789892134.0363376,344016,247.629,1789892136.8173375,2774,1789892137.6923375,866,1789892137.6923375,,1
Block 4_1_1f3607bd,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,4,4,V1,B,1,46.418,OFF,2,连续减7心算任务,4,1789892369.8323376,389455,46.483,1789892372.7863376,2952,1789892373.3953376,598,1789892373.3953376,390345,1
Block 4_2_1f3607bd,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,4,4,V1,B,2,176.289,OFF,2,连续减7心算任务,4,1789892515.7073376,422964,176.411,1789892518.9893374,3278,1789892519.5363376,542,1789892519.5513375,423920,1
Block 4_3_1f3607bd,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,G07,4,4,V1,B,3,243.612,OFF,2,连续减7心算任务,3,1789892595.2073376,441509,243.617,1789892601.0513375,5838,1789892602.9423375,1877,1789892602.9423375,443399,1
