probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_6bae7756,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,1,1,V5,A,1,140.556,ON,1,课程内容,4,1790005307.8919337,63850,140.815,1790005316.6419337,8749,1790005321.8919337,5248,1790005321.9539337,67356,1
Block 1_2_6bae7756,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,1,1,V5,A,2,198.737,ON,1,课程内容,4,1790005379.8599336,81845,198.815,1790005383.7349336,3879,1790005385.6099336,1864,1790005385.6569338,83286,1
Block 1_3_6bae7756,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,1,1,V5,A,3,272.986,ON,1,课程内容,4,1790005459.8129337,101825,273.025,1790005463.2199337,3388,1790005464.5319338,1317,1790005464.5789337,103014,1
Block 1_4_6bae7756,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,1,1,V5,A,4,348.877,ON,1,课程内容,4,1790005540.6099336,122025,349.106,1790005543.2199337,2602,1790005544.0949337,884,1790005544.1569338,122910,1
Block 2_1_7b581279,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,2,2,V6,B,1,116.345,OFF,2,连续减7心算任务,4,1790005871.7199337,204807,116.361,1790005874.5949337,2862,1790005875.8919337,1315,1790005875.9699337,205857,1
Block 2_2_7b581279,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,2,2,V6,B,2,162.946,OFF,2,连续减7心算任务,4,1790005922.5009336,217498,162.963,1790005925.8759336,3375,1790005927.3759336,1487,1790005927.4229336,218723,1
Block 2_3_7b581279,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,2,2,V6,B,3,224.314,OFF,2,连续减7心算任务,4,1790005988.8449337,234086,224.439,1790005991.7349336,2874,1790005992.8449337,1110,1790005992.9069338,235091,1
Block 2_4_7b581279,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,2,2,V6,B,4,294.049,OFF,2,连续减7心算任务,3,1790006062.5789337,252521,294.171,1790006067.9379337,5355,1790006068.9539337,1020,1790006069.0169337,254126,1
Block 3_1_a20ce795,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,3,3,V1,A,1,128.289,ON,1,课程内容,4,1790006395.8289337,335834,128.434,1790006398.8599336,3022,1790006399.9069338,1060,1790006399.9699337,336857,1
Block 3_2_a20ce795,sub-009,ses-001,c4a3cd8d-8275-44b5-8c41-5053294390dd,G09,3,3,V1,A,2,176.153,ON,1,课程内容,4,1790006447.8289337,348839,176.328,1790006451.3599336,3534,1790006452.3919337,1037,1790006452.4379337,349989,1
